"time_period","scalar_lvst_carrying_capacity","TransformationName","pij_lndu_grasslands_to_croplands","pij_lndu_grasslands_to_forests_mangroves","pij_lndu_grasslands_to_forests_primary","pij_lndu_grasslands_to_forests_secondary","pij_lndu_grasslands_to_grasslands","pij_lndu_grasslands_to_other","pij_lndu_grasslands_to_settlements","pij_lndu_grasslands_to_wetlands","pij_lndu_forests_secondary_to_grasslands","pij_lndu_forests_secondary_to_croplands","Nation"
27,1.415384615,"full",1,1,1,69.53846154,1,1,1,1,0.308384615,0.308384615,"bolivia"
28,1.438461538,"full",1,1,1,73.34615385,1,1,1,1,0.269961538,0.269961538,"bolivia"
29,1.461538462,"full",1,1,1,77.15384615,1,1,1,1,0.231538462,0.231538462,"bolivia"
30,1.484615385,"full",1,1,1,80.96153846,1,1,1,1,0.193115385,0.193115385,"bolivia"
31,1.507692308,"full",1,1,1,84.76923077,1,1,1,1,0.154692308,0.154692308,"bolivia"
32,1.530769231,"full",1,1,1,88.57692308,1,1,1,1,0.116269231,0.116269231,"bolivia"
33,1.553846154,"full",1,1,1,92.38461538,1,1,1,1,0.077846154,0.077846154,"bolivia"
34,1.576923077,"full",1,1,1,96.19230769,1,1,1,1,0.039423077,0.039423077,"bolivia"
35,1.6,"full",1,1,1,100,1,1,1,1,0.001,0.001,"bolivia"
0,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
1,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
2,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
3,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
4,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
5,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
6,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
7,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
8,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
9,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
10,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
11,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
12,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
13,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
14,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
15,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
16,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
17,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
18,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
19,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
20,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
21,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
22,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
23,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
24,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
25,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
26,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
27,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
28,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
29,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
30,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
31,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
32,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
33,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
34,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
35,1,"none",1,1,1,1,1,1,1,1,1,1,"brazil"
0,1,"full",1,1,1,1,1,1,1,1,1,1,"brazil"
1,1,"full",1,1,1,1,1,1,1,1,1,1,"brazil"
2,1,"full",1,1,1,1,1,1,1,1,1,1,"brazil"
3,1,"full",1,1,1,1,1,1,1,1,1,1,"brazil"
4,1,"full",1,1,1,1,1,1,1,1,1,1,"brazil"
5,1,"full",1,1,1,1,1,1,1,1,1,1,"brazil"
6,1,"full",1,1,1,1,1,1,1,1,1,1,"brazil"
7,1,"full",1,1,1,1,1,1,1,1,1,1,"brazil"
8,1,"full",1,1,1,1,1,1,1,1,1,1,"brazil"
9,1,"full",1,1,1,1,1,1,1,1,1,1,"brazil"
10,1.023076923,"full",1,1,1,4.807692308,1,1,1,1,0.961576923,0.961576923,"brazil"
11,1.046153846,"full",1,1,1,8.615384615,1,1,1,1,0.923153846,0.923153846,"brazil"
12,1.069230769,"full",1,1,1,12.42307692,1,1,1,1,0.884730769,0.884730769,"brazil"
13,1.092307692,"full",1,1,1,16.23076923,1,1,1,1,0.846307692,0.846307692,"brazil"
14,1.115384615,"full",1,1,1,20.03846154,1,1,1,1,0.807884615,0.807884615,"brazil"
15,1.138461538,"full",1,1,1,23.84615385,1,1,1,1,0.769461538,0.769461538,"brazil"
16,1.161538462,"full",1,1,1,27.65384615,1,1,1,1,0.731038462,0.731038462,"brazil"
17,1.184615385,"full",1,1,1,31.46153846,1,1,1,1,0.692615385,0.692615385,"brazil"
18,1.207692308,"full",1,1,1,35.26923077,1,1,1,1,0.654192308,0.654192308,"brazil"
19,1.230769231,"full",1,1,1,39.07692308,1,1,1,1,0.615769231,0.615769231,"brazil"
20,1.253846154,"full",1,1,1,42.88461538,1,1,1,1,0.577346154,0.577346154,"brazil"
21,1.276923077,"full",1,1,1,46.69230769,1,1,1,1,0.538923077,0.538923077,"brazil"
22,1.3,"full",1,1,1,50.5,1,1,1,1,0.5005,0.5005,"brazil"
23,1.323076923,"full",1,1,1,54.30769231,1,1,1,1,0.462076923,0.462076923,"brazil"
24,1.346153846,"full",1,1,1,58.11538462,1,1,1,1,0.423653846,0.423653846,"brazil"
25,1.369230769,"full",1,1,1,61.92307692,1,1,1,1,0.385230769,0.385230769,"brazil"
26,1.392307692,"full",1,1,1,65.73076923,1,1,1,1,0.346807692,0.346807692,"brazil"
27,1.415384615,"full",1,1,1,69.53846154,1,1,1,1,0.308384615,0.308384615,"brazil"
28,1.438461538,"full",1,1,1,73.34615385,1,1,1,1,0.269961538,0.269961538,"brazil"
29,1.461538462,"full",1,1,1,77.15384615,1,1,1,1,0.231538462,0.231538462,"brazil"
30,1.484615385,"full",1,1,1,80.96153846,1,1,1,1,0.193115385,0.193115385,"brazil"
31,1.507692308,"full",1,1,1,84.76923077,1,1,1,1,0.154692308,0.154692308,"brazil"
32,1.530769231,"full",1,1,1,88.57692308,1,1,1,1,0.116269231,0.116269231,"brazil"
33,1.553846154,"full",1,1,1,92.38461538,1,1,1,1,0.077846154,0.077846154,"brazil"
34,1.576923077,"full",1,1,1,96.19230769,1,1,1,1,0.039423077,0.039423077,"brazil"
35,1.6,"full",1,1,1,100,1,1,1,1,0.001,0.001,"brazil"
0,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
1,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
2,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
3,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
4,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
5,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
6,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
7,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
8,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
9,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
10,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
11,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
12,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
13,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
14,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
15,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
16,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
17,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
18,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
19,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
20,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
21,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
22,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
23,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
24,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
25,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
26,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
27,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
28,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
29,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
30,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
31,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
32,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
33,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
34,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
35,1,"none",1,1,1,1,1,1,1,1,1,1,"chile"
0,1,"full",1,1,1,1,1,1,1,1,1,1,"chile"
1,1,"full",1,1,1,1,1,1,1,1,1,1,"chile"
2,1,"full",1,1,1,1,1,1,1,1,1,1,"chile"
3,1,"full",1,1,1,1,1,1,1,1,1,1,"chile"
4,1,"full",1,1,1,1,1,1,1,1,1,1,"chile"
5,1,"full",1,1,1,1,1,1,1,1,1,1,"chile"
6,1,"full",1,1,1,1,1,1,1,1,1,1,"chile"
7,1,"full",1,1,1,1,1,1,1,1,1,1,"chile"
8,1,"full",1,1,1,1,1,1,1,1,1,1,"chile"
9,1,"full",1,1,1,1,1,1,1,1,1,1,"chile"
10,1.023076923,"full",1,1,1,4.807692308,1,1,1,1,0.961576923,0.961576923,"chile"
11,1.046153846,"full",1,1,1,8.615384615,1,1,1,1,0.923153846,0.923153846,"chile"
12,1.069230769,"full",1,1,1,12.42307692,1,1,1,1,0.884730769,0.884730769,"chile"
13,1.092307692,"full",1,1,1,16.23076923,1,1,1,1,0.846307692,0.846307692,"chile"
14,1.115384615,"full",1,1,1,20.03846154,1,1,1,1,0.807884615,0.807884615,"chile"
15,1.138461538,"full",1,1,1,23.84615385,1,1,1,1,0.769461538,0.769461538,"chile"
16,1.161538462,"full",1,1,1,27.65384615,1,1,1,1,0.731038462,0.731038462,"chile"
17,1.184615385,"full",1,1,1,31.46153846,1,1,1,1,0.692615385,0.692615385,"chile"
18,1.207692308,"full",1,1,1,35.26923077,1,1,1,1,0.654192308,0.654192308,"chile"
19,1.230769231,"full",1,1,1,39.07692308,1,1,1,1,0.615769231,0.615769231,"chile"
20,1.253846154,"full",1,1,1,42.88461538,1,1,1,1,0.577346154,0.577346154,"chile"
21,1.276923077,"full",1,1,1,46.69230769,1,1,1,1,0.538923077,0.538923077,"chile"
22,1.3,"full",1,1,1,50.5,1,1,1,1,0.5005,0.5005,"chile"
23,1.323076923,"full",1,1,1,54.30769231,1,1,1,1,0.462076923,0.462076923,"chile"
24,1.346153846,"full",1,1,1,58.11538462,1,1,1,1,0.423653846,0.423653846,"chile"
25,1.369230769,"full",1,1,1,61.92307692,1,1,1,1,0.385230769,0.385230769,"chile"
26,1.392307692,"full",1,1,1,65.73076923,1,1,1,1,0.346807692,0.346807692,"chile"
27,1.415384615,"full",1,1,1,69.53846154,1,1,1,1,0.308384615,0.308384615,"chile"
28,1.438461538,"full",1,1,1,73.34615385,1,1,1,1,0.269961538,0.269961538,"chile"
29,1.461538462,"full",1,1,1,77.15384615,1,1,1,1,0.231538462,0.231538462,"chile"
30,1.484615385,"full",1,1,1,80.96153846,1,1,1,1,0.193115385,0.193115385,"chile"
31,1.507692308,"full",1,1,1,84.76923077,1,1,1,1,0.154692308,0.154692308,"chile"
32,1.530769231,"full",1,1,1,88.57692308,1,1,1,1,0.116269231,0.116269231,"chile"
33,1.553846154,"full",1,1,1,92.38461538,1,1,1,1,0.077846154,0.077846154,"chile"
34,1.576923077,"full",1,1,1,96.19230769,1,1,1,1,0.039423077,0.039423077,"chile"
35,1.6,"full",1,1,1,100,1,1,1,1,0.001,0.001,"chile"
0,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
1,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
2,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
3,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
4,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
5,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
6,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
7,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
8,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
9,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
10,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
11,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
12,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
13,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
14,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
15,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
16,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
17,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
18,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
19,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
20,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
21,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
22,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
23,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
24,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
25,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
26,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
27,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
28,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
29,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
30,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
31,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
32,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
33,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
34,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
35,1,"none",1,1,1,1,1,1,1,1,1,1,"colombia"
0,1,"full",1,1,1,1,1,1,1,1,1,1,"colombia"
1,1,"full",1,1,1,1,1,1,1,1,1,1,"colombia"
2,1,"full",1,1,1,1,1,1,1,1,1,1,"colombia"
3,1,"full",1,1,1,1,1,1,1,1,1,1,"colombia"
4,1,"full",1,1,1,1,1,1,1,1,1,1,"colombia"
5,1,"full",1,1,1,1,1,1,1,1,1,1,"colombia"
6,1,"full",1,1,1,1,1,1,1,1,1,1,"colombia"
7,1,"full",1,1,1,1,1,1,1,1,1,1,"colombia"
8,1,"full",1,1,1,1,1,1,1,1,1,1,"colombia"
9,1,"full",1,1,1,1,1,1,1,1,1,1,"colombia"
10,1.023076923,"full",1,1,1,4.807692308,1,1,1,1,0.961576923,0.961576923,"colombia"
11,1.046153846,"full",1,1,1,8.615384615,1,1,1,1,0.923153846,0.923153846,"colombia"
12,1.069230769,"full",1,1,1,12.42307692,1,1,1,1,0.884730769,0.884730769,"colombia"
13,1.092307692,"full",1,1,1,16.23076923,1,1,1,1,0.846307692,0.846307692,"colombia"
14,1.115384615,"full",1,1,1,20.03846154,1,1,1,1,0.807884615,0.807884615,"colombia"
15,1.138461538,"full",1,1,1,23.84615385,1,1,1,1,0.769461538,0.769461538,"colombia"
16,1.161538462,"full",1,1,1,27.65384615,1,1,1,1,0.731038462,0.731038462,"colombia"
17,1.184615385,"full",1,1,1,31.46153846,1,1,1,1,0.692615385,0.692615385,"colombia"
18,1.207692308,"full",1,1,1,35.26923077,1,1,1,1,0.654192308,0.654192308,"colombia"
19,1.230769231,"full",1,1,1,39.07692308,1,1,1,1,0.615769231,0.615769231,"colombia"
20,1.253846154,"full",1,1,1,42.88461538,1,1,1,1,0.577346154,0.577346154,"colombia"
21,1.276923077,"full",1,1,1,46.69230769,1,1,1,1,0.538923077,0.538923077,"colombia"
22,1.3,"full",1,1,1,50.5,1,1,1,1,0.5005,0.5005,"colombia"
23,1.323076923,"full",1,1,1,54.30769231,1,1,1,1,0.462076923,0.462076923,"colombia"
24,1.346153846,"full",1,1,1,58.11538462,1,1,1,1,0.423653846,0.423653846,"colombia"
25,1.369230769,"full",1,1,1,61.92307692,1,1,1,1,0.385230769,0.385230769,"colombia"
26,1.392307692,"full",1,1,1,65.73076923,1,1,1,1,0.346807692,0.346807692,"colombia"
27,1.415384615,"full",1,1,1,69.53846154,1,1,1,1,0.308384615,0.308384615,"colombia"
28,1.438461538,"full",1,1,1,73.34615385,1,1,1,1,0.269961538,0.269961538,"colombia"
29,1.461538462,"full",1,1,1,77.15384615,1,1,1,1,0.231538462,0.231538462,"colombia"
30,1.484615385,"full",1,1,1,80.96153846,1,1,1,1,0.193115385,0.193115385,"colombia"
31,1.507692308,"full",1,1,1,84.76923077,1,1,1,1,0.154692308,0.154692308,"colombia"
32,1.530769231,"full",1,1,1,88.57692308,1,1,1,1,0.116269231,0.116269231,"colombia"
33,1.553846154,"full",1,1,1,92.38461538,1,1,1,1,0.077846154,0.077846154,"colombia"
34,1.576923077,"full",1,1,1,96.19230769,1,1,1,1,0.039423077,0.039423077,"colombia"
35,1.6,"full",1,1,1,100,1,1,1,1,0.001,0.001,"colombia"
0,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
1,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
2,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
3,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
4,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
5,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
6,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
7,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
8,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
9,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
10,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
11,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
12,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
13,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
14,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
15,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
16,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
17,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
18,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
19,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
20,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
21,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
22,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
23,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
24,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
25,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
26,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
27,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
28,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
29,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
30,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
31,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
32,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
33,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
34,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
35,1,"none",1,1,1,1,1,1,1,1,1,1,"costa_rica"
0,1,"full",1,1,1,1,1,1,1,1,1,1,"costa_rica"
1,1,"full",1,1,1,1,1,1,1,1,1,1,"costa_rica"
2,1,"full",1,1,1,1,1,1,1,1,1,1,"costa_rica"
3,1,"full",1,1,1,1,1,1,1,1,1,1,"costa_rica"
4,1,"full",1,1,1,1,1,1,1,1,1,1,"costa_rica"
5,1,"full",1,1,1,1,1,1,1,1,1,1,"costa_rica"
6,1,"full",1,1,1,1,1,1,1,1,1,1,"costa_rica"
7,1,"full",1,1,1,1,1,1,1,1,1,1,"costa_rica"
8,1,"full",1,1,1,1,1,1,1,1,1,1,"costa_rica"
9,1,"full",1,1,1,1,1,1,1,1,1,1,"costa_rica"
10,1.023076923,"full",1,1,1,4.807692308,1,1,1,1,0.961576923,0.961576923,"costa_rica"
11,1.046153846,"full",1,1,1,8.615384615,1,1,1,1,0.923153846,0.923153846,"costa_rica"
12,1.069230769,"full",1,1,1,12.42307692,1,1,1,1,0.884730769,0.884730769,"costa_rica"
13,1.092307692,"full",1,1,1,16.23076923,1,1,1,1,0.846307692,0.846307692,"costa_rica"
14,1.115384615,"full",1,1,1,20.03846154,1,1,1,1,0.807884615,0.807884615,"costa_rica"
15,1.138461538,"full",1,1,1,23.84615385,1,1,1,1,0.769461538,0.769461538,"costa_rica"
16,1.161538462,"full",1,1,1,27.65384615,1,1,1,1,0.731038462,0.731038462,"costa_rica"
17,1.184615385,"full",1,1,1,31.46153846,1,1,1,1,0.692615385,0.692615385,"costa_rica"
18,1.207692308,"full",1,1,1,35.26923077,1,1,1,1,0.654192308,0.654192308,"costa_rica"
19,1.230769231,"full",1,1,1,39.07692308,1,1,1,1,0.615769231,0.615769231,"costa_rica"
20,1.253846154,"full",1,1,1,42.88461538,1,1,1,1,0.577346154,0.577346154,"costa_rica"
21,1.276923077,"full",1,1,1,46.69230769,1,1,1,1,0.538923077,0.538923077,"costa_rica"
22,1.3,"full",1,1,1,50.5,1,1,1,1,0.5005,0.5005,"costa_rica"
23,1.323076923,"full",1,1,1,54.30769231,1,1,1,1,0.462076923,0.462076923,"costa_rica"
24,1.346153846,"full",1,1,1,58.11538462,1,1,1,1,0.423653846,0.423653846,"costa_rica"
25,1.369230769,"full",1,1,1,61.92307692,1,1,1,1,0.385230769,0.385230769,"costa_rica"
26,1.392307692,"full",1,1,1,65.73076923,1,1,1,1,0.346807692,0.346807692,"costa_rica"
27,1.415384615,"full",1,1,1,69.53846154,1,1,1,1,0.308384615,0.308384615,"costa_rica"
28,1.438461538,"full",1,1,1,73.34615385,1,1,1,1,0.269961538,0.269961538,"costa_rica"
29,1.461538462,"full",1,1,1,77.15384615,1,1,1,1,0.231538462,0.231538462,"costa_rica"
30,1.484615385,"full",1,1,1,80.96153846,1,1,1,1,0.193115385,0.193115385,"costa_rica"
31,1.507692308,"full",1,1,1,84.76923077,1,1,1,1,0.154692308,0.154692308,"costa_rica"
32,1.530769231,"full",1,1,1,88.57692308,1,1,1,1,0.116269231,0.116269231,"costa_rica"
33,1.553846154,"full",1,1,1,92.38461538,1,1,1,1,0.077846154,0.077846154,"costa_rica"
34,1.576923077,"full",1,1,1,96.19230769,1,1,1,1,0.039423077,0.039423077,"costa_rica"
35,1.6,"full",1,1,1,100,1,1,1,1,0.001,0.001,"costa_rica"
0,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
1,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
2,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
3,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
4,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
5,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
6,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
7,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
8,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
9,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
10,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
11,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
12,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
13,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
14,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
15,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
16,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
17,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
18,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
19,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
20,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
21,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
22,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
23,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
24,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
25,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
26,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
27,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
28,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
29,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
30,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
31,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
32,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
33,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
34,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
35,1,"none",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
0,1,"full",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
1,1,"full",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
2,1,"full",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
3,1,"full",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
4,1,"full",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
5,1,"full",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
6,1,"full",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
7,1,"full",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
8,1,"full",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
9,1,"full",1,1,1,1,1,1,1,1,1,1,"dominican_republic"
10,1.023076923,"full",1,1,1,4.807692308,1,1,1,1,0.961576923,0.961576923,"dominican_republic"
11,1.046153846,"full",1,1,1,8.615384615,1,1,1,1,0.923153846,0.923153846,"dominican_republic"
12,1.069230769,"full",1,1,1,12.42307692,1,1,1,1,0.884730769,0.884730769,"dominican_republic"
13,1.092307692,"full",1,1,1,16.23076923,1,1,1,1,0.846307692,0.846307692,"dominican_republic"
14,1.115384615,"full",1,1,1,20.03846154,1,1,1,1,0.807884615,0.807884615,"dominican_republic"
15,1.138461538,"full",1,1,1,23.84615385,1,1,1,1,0.769461538,0.769461538,"dominican_republic"
16,1.161538462,"full",1,1,1,27.65384615,1,1,1,1,0.731038462,0.731038462,"dominican_republic"
17,1.184615385,"full",1,1,1,31.46153846,1,1,1,1,0.692615385,0.692615385,"dominican_republic"
18,1.207692308,"full",1,1,1,35.26923077,1,1,1,1,0.654192308,0.654192308,"dominican_republic"
