"time_period","pij_lndu_croplands_to_croplands","pij_lndu_croplands_to_forests_secondary","TransformationName","pij_lndu_forests_secondary_to_croplands","pij_lndu_forests_secondary_to_forests_mangroves","pij_lndu_forests_secondary_to_forests_primary","pij_lndu_forests_secondary_to_forests_secondary","pij_lndu_forests_secondary_to_grasslands","pij_lndu_forests_secondary_to_other","pij_lndu_forests_secondary_to_settlements","pij_lndu_forests_secondary_to_wetlands","pij_lndu_croplands_to_grasslands","Nation"
0,1,1,"full",1,1,1,1,1,1,1,1,1,"bolivia"
1,1,1,"full",1,1,1,1,1,1,1,1,1,"bolivia"
2,1,1,"full",1,1,1,1,1,1,1,1,1,"bolivia"
3,1,1,"full",1,1,1,1,1,1,1,1,1,"bolivia"
4,1,1,"full",1,1,1,1,1,1,1,1,1,"bolivia"
5,1,1,"full",1,1,1,1,1,1,1,1,1,"bolivia"
6,1,1,"full",1,1,1,1,1,1,1,1,1,"bolivia"
7,1,1,"full",1,1,1,1,1,1,1,1,1,"bolivia"
8,1,1,"full",1,1,1,1,1,1,1,1,1,"bolivia"
9,1,1,"full",1,1,1,1,1,1,1,1,1,"bolivia"
10,0.965384615,1.384615385,"full",0.961923077,1,1,1,0.961923077,0.961923077,0.961923077,1,0.961923077,"bolivia"
11,0.930769231,1.769230769,"full",0.923846154,1,1,1,0.923846154,0.923846154,0.923846154,1,0.923846154,"bolivia"
12,0.896153846,2.153846154,"full",0.885769231,1,1,1,0.885769231,0.885769231,0.885769231,1,0.885769231,"bolivia"
13,0.861538462,2.538461538,"full",0.847692308,1,1,1,0.847692308,0.847692308,0.847692308,1,0.847692308,"bolivia"
14,0.826923077,2.923076923,"full",0.809615385,1,1,1,0.809615385,0.809615385,0.809615385,1,0.809615385,"bolivia"
15,0.792307692,3.307692308,"full",0.771538462,1,1,1,0.771538462,0.771538462,0.771538462,1,0.771538462,"bolivia"
16,0.757692308,3.692307692,"full",0.733461538,1,1,1,0.733461538,0.733461538,0.733461538,1,0.733461538,"bolivia"
17,0.723076923,4.076923077,"full",0.695384615,1,1,1,0.695384615,0.695384615,0.695384615,1,0.695384615,"bolivia"
18,0.688461538,4.461538462,"full",0.657307692,1,1,1,0.657307692,0.657307692,0.657307692,1,0.657307692,"bolivia"
19,0.653846154,4.846153846,"full",0.619230769,1,1,1,0.619230769,0.619230769,0.619230769,1,0.619230769,"bolivia"
20,0.619230769,5.230769231,"full",0.581153846,1,1,1,0.581153846,0.581153846,0.581153846,1,0.581153846,"bolivia"
21,0.584615385,5.615384615,"full",0.543076923,1,1,1,0.543076923,0.543076923,0.543076923,1,0.543076923,"bolivia"
22,0.55,6,"full",0.505,1,1,1,0.505,0.505,0.505,1,0.505,"bolivia"
23,0.515384615,6.384615385,"full",0.466923077,1,1,1,0.466923077,0.466923077,0.466923077,1,0.466923077,"bolivia"
24,0.480769231,6.769230769,"full",0.428846154,1,1,1,0.428846154,0.428846154,0.428846154,1,0.428846154,"bolivia"
25,0.446153846,7.153846154,"full",0.390769231,1,1,1,0.390769231,0.390769231,0.390769231,1,0.390769231,"bolivia"
26,0.411538462,7.538461538,"full",0.352692308,1,1,1,0.352692308,0.352692308,0.352692308,1,0.352692308,"bolivia"
27,0.376923077,7.923076923,"full",0.314615385,1,1,1,0.314615385,0.314615385,0.314615385,1,0.314615385,"bolivia"
28,0.342307692,8.307692308,"full",0.276538462,1,1,1,0.276538462,0.276538462,0.276538462,1,0.276538462,"bolivia"
29,0.307692308,8.692307692,"full",0.238461538,1,1,1,0.238461538,0.238461538,0.238461538,1,0.238461538,"bolivia"
30,0.273076923,9.076923077,"full",0.200384615,1,1,1,0.200384615,0.200384615,0.200384615,1,0.200384615,"bolivia"
31,0.238461538,9.461538462,"full",0.162307692,1,1,1,0.162307692,0.162307692,0.162307692,1,0.162307692,"bolivia"
32,0.203846154,9.846153846,"full",0.124230769,1,1,1,0.124230769,0.124230769,0.124230769,1,0.124230769,"bolivia"
33,0.169230769,10.23076923,"full",0.086153846,1,1,1,0.086153846,0.086153846,0.086153846,1,0.086153846,"bolivia"
34,0.134615385,10.61538462,"full",0.048076923,1,1,1,0.048076923,0.048076923,0.048076923,1,0.048076923,"bolivia"
35,0.1,11,"full",0.01,1,1,1,0.01,0.01,0.01,1,0.01,"bolivia"
0,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
1,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
2,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
3,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
4,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
5,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
6,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
7,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
8,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
9,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
10,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
11,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
12,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
13,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
14,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
15,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
16,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
17,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
18,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
19,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
20,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
21,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
22,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
23,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
24,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
25,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
26,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
27,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
28,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
29,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
30,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
31,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
32,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
33,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
34,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
35,1,1,"none",1,1,1,1,1,1,1,1,1,"brazil"
0,1,1,"full",1,1,1,1,1,1,1,1,1,"brazil"
1,1,1,"full",1,1,1,1,1,1,1,1,1,"brazil"
2,1,1,"full",1,1,1,1,1,1,1,1,1,"brazil"
3,1,1,"full",1,1,1,1,1,1,1,1,1,"brazil"
4,1,1,"full",1,1,1,1,1,1,1,1,1,"brazil"
5,1,1,"full",1,1,1,1,1,1,1,1,1,"brazil"
6,1,1,"full",1,1,1,1,1,1,1,1,1,"brazil"
7,1,1,"full",1,1,1,1,1,1,1,1,1,"brazil"
8,1,1,"full",1,1,1,1,1,1,1,1,1,"brazil"
9,1,1,"full",1,1,1,1,1,1,1,1,1,"brazil"
10,0.965384615,1.384615385,"full",0.961923077,1,1,1,0.961923077,0.961923077,0.961923077,1,0.961923077,"brazil"
11,0.930769231,1.769230769,"full",0.923846154,1,1,1,0.923846154,0.923846154,0.923846154,1,0.923846154,"brazil"
12,0.896153846,2.153846154,"full",0.885769231,1,1,1,0.885769231,0.885769231,0.885769231,1,0.885769231,"brazil"
13,0.861538462,2.538461538,"full",0.847692308,1,1,1,0.847692308,0.847692308,0.847692308,1,0.847692308,"brazil"
14,0.826923077,2.923076923,"full",0.809615385,1,1,1,0.809615385,0.809615385,0.809615385,1,0.809615385,"brazil"
15,0.792307692,3.307692308,"full",0.771538462,1,1,1,0.771538462,0.771538462,0.771538462,1,0.771538462,"brazil"
16,0.757692308,3.692307692,"full",0.733461538,1,1,1,0.733461538,0.733461538,0.733461538,1,0.733461538,"brazil"
17,0.723076923,4.076923077,"full",0.695384615,1,1,1,0.695384615,0.695384615,0.695384615,1,0.695384615,"brazil"
18,0.688461538,4.461538462,"full",0.657307692,1,1,1,0.657307692,0.657307692,0.657307692,1,0.657307692,"brazil"
19,0.653846154,4.846153846,"full",0.619230769,1,1,1,0.619230769,0.619230769,0.619230769,1,0.619230769,"brazil"
20,0.619230769,5.230769231,"full",0.581153846,1,1,1,0.581153846,0.581153846,0.581153846,1,0.581153846,"brazil"
21,0.584615385,5.615384615,"full",0.543076923,1,1,1,0.543076923,0.543076923,0.543076923,1,0.543076923,"brazil"
22,0.55,6,"full",0.505,1,1,1,0.505,0.505,0.505,1,0.505,"brazil"
23,0.515384615,6.384615385,"full",0.466923077,1,1,1,0.466923077,0.466923077,0.466923077,1,0.466923077,"brazil"
24,0.480769231,6.769230769,"full",0.428846154,1,1,1,0.428846154,0.428846154,0.428846154,1,0.428846154,"brazil"
25,0.446153846,7.153846154,"full",0.390769231,1,1,1,0.390769231,0.390769231,0.390769231,1,0.390769231,"brazil"
26,0.411538462,7.538461538,"full",0.352692308,1,1,1,0.352692308,0.352692308,0.352692308,1,0.352692308,"brazil"
27,0.376923077,7.923076923,"full",0.314615385,1,1,1,0.314615385,0.314615385,0.314615385,1,0.314615385,"brazil"
28,0.342307692,8.307692308,"full",0.276538462,1,1,1,0.276538462,0.276538462,0.276538462,1,0.276538462,"brazil"
29,0.307692308,8.692307692,"full",0.238461538,1,1,1,0.238461538,0.238461538,0.238461538,1,0.238461538,"brazil"
30,0.273076923,9.076923077,"full",0.200384615,1,1,1,0.200384615,0.200384615,0.200384615,1,0.200384615,"brazil"
31,0.238461538,9.461538462,"full",0.162307692,1,1,1,0.162307692,0.162307692,0.162307692,1,0.162307692,"brazil"
32,0.203846154,9.846153846,"full",0.124230769,1,1,1,0.124230769,0.124230769,0.124230769,1,0.124230769,"brazil"
33,0.169230769,10.23076923,"full",0.086153846,1,1,1,0.086153846,0.086153846,0.086153846,1,0.086153846,"brazil"
34,0.134615385,10.61538462,"full",0.048076923,1,1,1,0.048076923,0.048076923,0.048076923,1,0.048076923,"brazil"
35,0.1,11,"full",0.01,1,1,1,0.01,0.01,0.01,1,0.01,"brazil"
0,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
1,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
2,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
3,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
4,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
5,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
6,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
7,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
8,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
9,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
10,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
11,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
12,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
13,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
14,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
15,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
16,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
17,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
18,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
19,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
20,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
21,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
22,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
23,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
24,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
25,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
26,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
27,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
28,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
29,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
30,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
31,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
32,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
33,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
34,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
35,1,1,"none",1,1,1,1,1,1,1,1,1,"chile"
0,1,1,"full",1,1,1,1,1,1,1,1,1,"chile"
1,1,1,"full",1,1,1,1,1,1,1,1,1,"chile"
2,1,1,"full",1,1,1,1,1,1,1,1,1,"chile"
3,1,1,"full",1,1,1,1,1,1,1,1,1,"chile"
4,1,1,"full",1,1,1,1,1,1,1,1,1,"chile"
5,1,1,"full",1,1,1,1,1,1,1,1,1,"chile"
6,1,1,"full",1,1,1,1,1,1,1,1,1,"chile"
7,1,1,"full",1,1,1,1,1,1,1,1,1,"chile"
8,1,1,"full",1,1,1,1,1,1,1,1,1,"chile"
9,1,1,"full",1,1,1,1,1,1,1,1,1,"chile"
10,0.965384615,1.384615385,"full",0.961923077,1,1,1,0.961923077,0.961923077,0.961923077,1,0.961923077,"chile"
11,0.930769231,1.769230769,"full",0.923846154,1,1,1,0.923846154,0.923846154,0.923846154,1,0.923846154,"chile"
12,0.896153846,2.153846154,"full",0.885769231,1,1,1,0.885769231,0.885769231,0.885769231,1,0.885769231,"chile"
13,0.861538462,2.538461538,"full",0.847692308,1,1,1,0.847692308,0.847692308,0.847692308,1,0.847692308,"chile"
14,0.826923077,2.923076923,"full",0.809615385,1,1,1,0.809615385,0.809615385,0.809615385,1,0.809615385,"chile"
15,0.792307692,3.307692308,"full",0.771538462,1,1,1,0.771538462,0.771538462,0.771538462,1,0.771538462,"chile"
16,0.757692308,3.692307692,"full",0.733461538,1,1,1,0.733461538,0.733461538,0.733461538,1,0.733461538,"chile"
17,0.723076923,4.076923077,"full",0.695384615,1,1,1,0.695384615,0.695384615,0.695384615,1,0.695384615,"chile"
18,0.688461538,4.461538462,"full",0.657307692,1,1,1,0.657307692,0.657307692,0.657307692,1,0.657307692,"chile"
19,0.653846154,4.846153846,"full",0.619230769,1,1,1,0.619230769,0.619230769,0.619230769,1,0.619230769,"chile"
20,0.619230769,5.230769231,"full",0.581153846,1,1,1,0.581153846,0.581153846,0.581153846,1,0.581153846,"chile"
21,0.584615385,5.615384615,"full",0.543076923,1,1,1,0.543076923,0.543076923,0.543076923,1,0.543076923,"chile"
22,0.55,6,"full",0.505,1,1,1,0.505,0.505,0.505,1,0.505,"chile"
23,0.515384615,6.384615385,"full",0.466923077,1,1,1,0.466923077,0.466923077,0.466923077,1,0.466923077,"chile"
24,0.480769231,6.769230769,"full",0.428846154,1,1,1,0.428846154,0.428846154,0.428846154,1,0.428846154,"chile"
25,0.446153846,7.153846154,"full",0.390769231,1,1,1,0.390769231,0.390769231,0.390769231,1,0.390769231,"chile"
26,0.411538462,7.538461538,"full",0.352692308,1,1,1,0.352692308,0.352692308,0.352692308,1,0.352692308,"chile"
27,0.376923077,7.923076923,"full",0.314615385,1,1,1,0.314615385,0.314615385,0.314615385,1,0.314615385,"chile"
28,0.342307692,8.307692308,"full",0.276538462,1,1,1,0.276538462,0.276538462,0.276538462,1,0.276538462,"chile"
29,0.307692308,8.692307692,"full",0.238461538,1,1,1,0.238461538,0.238461538,0.238461538,1,0.238461538,"chile"
30,0.273076923,9.076923077,"full",0.200384615,1,1,1,0.200384615,0.200384615,0.200384615,1,0.200384615,"chile"
31,0.238461538,9.461538462,"full",0.162307692,1,1,1,0.162307692,0.162307692,0.162307692,1,0.162307692,"chile"
32,0.203846154,9.846153846,"full",0.124230769,1,1,1,0.124230769,0.124230769,0.124230769,1,0.124230769,"chile"
33,0.169230769,10.23076923,"full",0.086153846,1,1,1,0.086153846,0.086153846,0.086153846,1,0.086153846,"chile"
34,0.134615385,10.61538462,"full",0.048076923,1,1,1,0.048076923,0.048076923,0.048076923,1,0.048076923,"chile"
35,0.1,11,"full",0.01,1,1,1,0.01,0.01,0.01,1,0.01,"chile"
0,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
1,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
2,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
3,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
4,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
5,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
6,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
7,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
8,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
9,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
10,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
11,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
12,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
13,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
14,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
15,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
16,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
17,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
18,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
19,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
20,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
21,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
22,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
23,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
24,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
25,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
26,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
27,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
28,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
29,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
30,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
31,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
32,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
33,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
34,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
35,1,1,"none",1,1,1,1,1,1,1,1,1,"colombia"
0,1,1,"full",1,1,1,1,1,1,1,1,1,"colombia"
1,1,1,"full",1,1,1,1,1,1,1,1,1,"colombia"
2,1,1,"full",1,1,1,1,1,1,1,1,1,"colombia"
3,1,1,"full",1,1,1,1,1,1,1,1,1,"colombia"
4,1,1,"full",1,1,1,1,1,1,1,1,1,"colombia"
5,1,1,"full",1,1,1,1,1,1,1,1,1,"colombia"
6,1,1,"full",1,1,1,1,1,1,1,1,1,"colombia"
7,1,1,"full",1,1,1,1,1,1,1,1,1,"colombia"
8,1,1,"full",1,1,1,1,1,1,1,1,1,"colombia"
9,1,1,"full",1,1,1,1,1,1,1,1,1,"colombia"
10,0.965384615,1.384615385,"full",0.961923077,1,1,1,0.961923077,0.961923077,0.961923077,1,0.961923077,"colombia"
11,0.930769231,1.769230769,"full",0.923846154,1,1,1,0.923846154,0.923846154,0.923846154,1,0.923846154,"colombia"
12,0.896153846,2.153846154,"full",0.885769231,1,1,1,0.885769231,0.885769231,0.885769231,1,0.885769231,"colombia"
13,0.861538462,2.538461538,"full",0.847692308,1,1,1,0.847692308,0.847692308,0.847692308,1,0.847692308,"colombia"
14,0.826923077,2.923076923,"full",0.809615385,1,1,1,0.809615385,0.809615385,0.809615385,1,0.809615385,"colombia"
15,0.792307692,3.307692308,"full",0.771538462,1,1,1,0.771538462,0.771538462,0.771538462,1,0.771538462,"colombia"
16,0.757692308,3.692307692,"full",0.733461538,1,1,1,0.733461538,0.733461538,0.733461538,1,0.733461538,"colombia"
17,0.723076923,4.076923077,"full",0.695384615,1,1,1,0.695384615,0.695384615,0.695384615,1,0.695384615,"colombia"
18,0.688461538,4.461538462,"full",0.657307692,1,1,1,0.657307692,0.657307692,0.657307692,1,0.657307692,"colombia"
19,0.653846154,4.846153846,"full",0.619230769,1,1,1,0.619230769,0.619230769,0.619230769,1,0.619230769,"colombia"
20,0.619230769,5.230769231,"full",0.581153846,1,1,1,0.581153846,0.581153846,0.581153846,1,0.581153846,"colombia"
21,0.584615385,5.615384615,"full",0.543076923,1,1,1,0.543076923,0.543076923,0.543076923,1,0.543076923,"colombia"
22,0.55,6,"full",0.505,1,1,1,0.505,0.505,0.505,1,0.505,"colombia"
23,0.515384615,6.384615385,"full",0.466923077,1,1,1,0.466923077,0.466923077,0.466923077,1,0.466923077,"colombia"
24,0.480769231,6.769230769,"full",0.428846154,1,1,1,0.428846154,0.428846154,0.428846154,1,0.428846154,"colombia"
25,0.446153846,7.153846154,"full",0.390769231,1,1,1,0.390769231,0.390769231,0.390769231,1,0.390769231,"colombia"
26,0.411538462,7.538461538,"full",0.352692308,1,1,1,0.352692308,0.352692308,0.352692308,1,0.352692308,"colombia"
27,0.376923077,7.923076923,"full",0.314615385,1,1,1,0.314615385,0.314615385,0.314615385,1,0.314615385,"colombia"
28,0.342307692,8.307692308,"full",0.276538462,1,1,1,0.276538462,0.276538462,0.276538462,1,0.276538462,"colombia"
29,0.307692308,8.692307692,"full",0.238461538,1,1,1,0.238461538,0.238461538,0.238461538,1,0.238461538,"colombia"
30,0.273076923,9.076923077,"full",0.200384615,1,1,1,0.200384615,0.200384615,0.200384615,1,0.200384615,"colombia"
31,0.238461538,9.461538462,"full",0.162307692,1,1,1,0.162307692,0.162307692,0.162307692,1,0.162307692,"colombia"
32,0.203846154,9.846153846,"full",0.124230769,1,1,1,0.124230769,0.124230769,0.124230769,1,0.124230769,"colombia"
33,0.169230769,10.23076923,"full",0.086153846,1,1,1,0.086153846,0.086153846,0.086153846,1,0.086153846,"colombia"
34,0.134615385,10.61538462,"full",0.048076923,1,1,1,0.048076923,0.048076923,0.048076923,1,0.048076923,"colombia"
35,0.1,11,"full",0.01,1,1,1,0.01,0.01,0.01,1,0.01,"colombia"
0,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
1,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
2,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
3,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
4,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
5,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
6,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
7,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
8,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
9,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
10,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
11,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
12,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
13,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
14,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
15,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
16,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
17,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
18,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
19,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
20,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
21,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
22,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
23,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
24,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
25,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
26,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
27,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
28,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
29,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
30,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
31,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
32,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
33,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
34,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
35,1,1,"none",1,1,1,1,1,1,1,1,1,"costa_rica"
0,1,1,"full",1,1,1,1,1,1,1,1,1,"costa_rica"
1,1,1,"full",1,1,1,1,1,1,1,1,1,"costa_rica"
2,1,1,"full",1,1,1,1,1,1,1,1,1,"costa_rica"
3,1,1,"full",1,1,1,1,1,1,1,1,1,"costa_rica"
4,1,1,"full",1,1,1,1,1,1,1,1,1,"costa_rica"
5,1,1,"full",1,1,1,1,1,1,1,1,1,"costa_rica"
6,1,1,"full",1,1,1,1,1,1,1,1,1,"costa_rica"
7,1,1,"full",1,1,1,1,1,1,1,1,1,"costa_rica"
8,1,1,"full",1,1,1,1,1,1,1,1,1,"costa_rica"
9,1,1,"full",1,1,1,1,1,1,1,1,1,"costa_rica"
10,0.965384615,1.384615385,"full",0.961923077,1,1,1,0.961923077,0.961923077,0.961923077,1,0.961923077,"costa_rica"
11,0.930769231,1.769230769,"full",0.923846154,1,1,1,0.923846154,0.923846154,0.923846154,1,0.923846154,"costa_rica"
12,0.896153846,2.153846154,"full",0.885769231,1,1,1,0.885769231,0.885769231,0.885769231,1,0.885769231,"costa_rica"
13,0.861538462,2.538461538,"full",0.847692308,1,1,1,0.847692308,0.847692308,0.847692308,1,0.847692308,"costa_rica"
14,0.826923077,2.923076923,"full",0.809615385,1,1,1,0.809615385,0.809615385,0.809615385,1,0.809615385,"costa_rica"
15,0.792307692,3.307692308,"full",0.771538462,1,1,1,0.771538462,0.771538462,0.771538462,1,0.771538462,"costa_rica"
16,0.757692308,3.692307692,"full",0.733461538,1,1,1,0.733461538,0.733461538,0.733461538,1,0.733461538,"costa_rica"
17,0.723076923,4.076923077,"full",0.695384615,1,1,1,0.695384615,0.695384615,0.695384615,1,0.695384615,"costa_rica"
18,0.688461538,4.461538462,"full",0.657307692,1,1,1,0.657307692,0.657307692,0.657307692,1,0.657307692,"costa_rica"
19,0.653846154,4.846153846,"full",0.619230769,1,1,1,0.619230769,0.619230769,0.619230769,1,0.619230769,"costa_rica"
20,0.619230769,5.230769231,"full",0.581153846,1,1,1,0.581153846,0.581153846,0.581153846,1,0.581153846,"costa_rica"
21,0.584615385,5.615384615,"full",0.543076923,1,1,1,0.543076923,0.543076923,0.543076923,1,0.543076923,"costa_rica"
22,0.55,6,"full",0.505,1,1,1,0.505,0.505,0.505,1,0.505,"costa_rica"
23,0.515384615,6.384615385,"full",0.466923077,1,1,1,0.466923077,0.466923077,0.466923077,1,0.466923077,"costa_rica"
24,0.480769231,6.769230769,"full",0.428846154,1,1,1,0.428846154,0.428846154,0.428846154,1,0.428846154,"costa_rica"
25,0.446153846,7.153846154,"full",0.390769231,1,1,1,0.390769231,0.390769231,0.390769231,1,0.390769231,"costa_rica"
26,0.411538462,7.538461538,"full",0.352692308,1,1,1,0.352692308,0.352692308,0.352692308,1,0.352692308,"costa_rica"
